Account or Security,Coupon,Maturity Date,Quantity,Cost Value,Market Value,Year,Industry
CIT BK NATL ASSN PASADENA CA 2,2.97,09/27/25,250000,250000,261562.5,2021,
CIT BK NATL ASSN PASADENA CA 2,2.97,09/27/25,250000,250000,240819.53,2022,
CIT BK NATL ASSN PASADENA CA 2,2.97,09/27/25,250000,250000,236438.38,2023,
CIT BK NATL ASSN PASADENA CA 2,2.97,09/27/25,120000,112645.95,113490.42,2023,
CITIBANK CREDIT CARD ISSUANCE TRUST,2.25,12/23/14,2500000,2552734.38,2536937.5,2011,
CITIBANK N A 3.165% ,2.1,06/12/20,1000000,999570,993460,2017,
CITIBANK N A 3.165% ,2,03/20/19,250000,249795,249517.5,2017,
CITIBANK N A 3.165% ,2.1,06/12/20,458000,457803.06,455004.68,2017,
CITIBANK N A 3.165% ,2,03/20/19,454000,453627.72,453123.78,2017,
CITIBANK N A 3.165% ,1.85,09/18/19,340000,339993.2,337909,2017,
CITIBANK N A 3.165% ,2.1,06/12/20,225000,224903.25,223528.5,2017,
CITIBANK N A 3.165% ,2.13,10/20/20,350000,349877.5,346656.45,2017,
CITIBANK N A 3.165% ,2,03/20/19,1200000,1203957,1197684,2017,
CITIBANK N A 3.165% ,2.05,06/12/20,687000,687000,690322.33,2017,
CITIBANK N A 3.165% ,2,03/20/19,500000,499590,499035,2017,
CITIBANK N A 3.165% ,2.1,06/12/20,1000000,999570,979380,2018,
CITIBANK N A 3.165% ,3.05,05/01/20,250000,249885,249908.75,2018,
CITIBANK N A 3.165% ,2,03/20/19,250000,249795,248842.25,2018,
CITIBANK N A 3.165% ,2.1,06/12/20,458000,457803.06,448556.04,2018,
CITIBANK N A 3.165% ,2,03/20/19,454000,453627.72,451897.53,2018,
CITIBANK N A 3.165% ,2.85,02/12/21,500000,499970,494608,2018,
CITIBANK N A 3.165% ,2.13,10/20/20,350000,349877.5,341602.1,2018,
CITIBANK N A 3.165% ,2.68,05/01/20,970000,971891.5,970694.52,2018,
CITIBANK N A 3.165% ,2,03/20/19,1200000,1203957,1194442.8,2018,
CITIBANK N A 3.165% ,2.83,06/12/20,687000,687000,689004.67,2018,
CITIBANK N A 3.165% ,2.68,05/01/20,830000,830000,830594.28,2018,
CITIBANK N A 3.165% ,2.1,06/12/20,543000,542766.51,541973.73,2019,
CITIBANK N A 3.165% ,2.84,05/20/22,250000,250000,251907.75,2019,
CITIBANK N A 3.165% ,3.17,02/19/22,540000,540000,546759.72,2019,
CITIBANK N A 3.165% ,3.4,07/23/21,440000,439516,449364.52,2019,
CITIBANK N A 3.165% ,2.1,06/12/20,458000,457803.06,457134.38,2019,
CITIBANK N A 3.165% ,2.85,02/12/21,1400000,1392509,1411550,2019,
CITIBANK N A 3.165% ,2.85,02/12/21,1200000,1210116,1209900,2019,
CITIBANK N A 3.165% ,2.9,05/01/20,970000,971891.5,971099.01,2019,
CITIBANK N A 3.165% ,3.17,02/19/22,4500000,4500000,4556331,2019,
CITIBANK N A 3.165% ,3.12,05/20/22,1100000,1100000,1101376.1,2019,
CITIBANK N A 3.165% ,2.84,05/20/22,250000,250000,254947.22,2020,
CITIBANK N A 3.165% ,3.17,02/19/22,540000,540000,548685.89,2020,
CITIBANK N A 3.165% ,2.85,02/12/21,1200000,1210116,1215582.22,2020,
CITIBANK N A 3.165% ,3.17,02/19/22,1700000,1728407,1727344.47,2020,
CITIBANK N A 3.165% ,3.17,02/19/22,4500000,4500000,4572382.41,2020,
CITIBANK N A 3.165% ,3.65,01/23/24,3285000,3247228.36,3247088.93,2023,
CITIBANK N A 3.165% ,3.65,01/23/24,1000000,988290,988459.34,2023,
CITIGROUP INC,5.5,10/15/14,130000,129343.5,131629.03,2009,
CITIGROUP INC,5,09/15/14,481000,476199.16,463695.54,2009,
CITIGROUP INC,6.13,05/15/18,385000,380418.5,387082.08,2009,
CITIGROUP INC,5.5,10/15/14,130000,129343.5,140068.11,2010,
CITIGROUP INC,6,12/13/13,400000,407158,437094,2010,
CITIGROUP INC,5,09/15/14,481000,476199.16,497583.91,2010,
CITIGROUP INC,6.13,05/15/18,385000,380418.5,421777.89,2010,
CITIGROUP INC,5.5,10/15/14,130000,129343.5,133646.11,2011,
CITIGROUP INC,6.01,01/15/15,400000,440820,417882,2011,
CITIGROUP INC,5,09/15/14,481000,476199.16,476049.54,2011,
CITIGROUP INC,6.13,05/15/18,385000,380418.5,409777.44,2011,
CITIGROUP INC,5.5,10/15/14,40000,39798,42913.64,2012,
CITIGROUP INC,6.01,01/15/15,130000,143266.5,142052.95,2012,
CITIGROUP INC,5,09/15/14,756000,761286.16,795378.52,2012,
CITIGROUP INC,6.13,05/15/18,610000,632837,731030.71,2012,
CITIGROUP INC,2.65,03/02/15,610000,608932.5,628157.26,2012,
CITIGROUP INC,4.59,12/15/15,1635000,1751795.09,1785011.25,2012,
CITIGROUP INC,2.25,08/07/15,135000,138333,138257.28,2012,
CITIGROUP INC,5.5,10/15/14,18000,17909.1,18668.66,2013,
CITIGROUP INC,6.01,01/15/15,88000,96980.4,92667.78,2013,
CITIGROUP INC,5.375,08/09/20,420000,468384,477809.64,2013,
CITIGROUP INC,2.5,09/26/18,725000,721824.5,728659.07,2013,
CITIGROUP INC,2.65,03/02/15,610000,608932.5,622372.02,2013,
CITIGROUP INC,1.3,11/15/16,180000,179820,179371.98,2013,
CITIGROUP INC,4.587,12/15/15,1635000,1751795.09,1747183.89,2013,
CITIGROUP INC,1.3,04/01/16,920000,918914.4,922139,2013,
CITIGROUP INC,5.375,08/09/20,103000,114865.6,117065.16,2014,
CITIGROUP INC,2.5,09/26/18,725000,721824.5,733470.9,2014,
CITIGROUP INC,1.35,03/10/17,830000,829659.7,826084.89,2014,
CITIGROUP INC,2.65,03/02/15,610000,608932.5,611799.5,2014,
CITIGROUP INC,1.3,11/15/16,180000,179820,179778.06,2014,
CITIGROUP INC,2.5,07/29/19,100000,99939,100080.3,2014,
CITIGROUP INC,1.85,11/24/17,750000,749850,749138.25,2014,
CITIGROUP INC,6.125,11/21/17,1038000,1183288.86,1157457.19,2014,
CITIGROUP INC,1.55,08/14/17,664000,663070.4,662126.86,2014,
CITIGROUP INC,1.3,04/01/16,920000,918914.4,921305.48,2014,
CITIGROUP INC,1.55,08/14/17,980000,978628,977235.42,2014,
CITIGROUP INC,6.01,01/15/15,1500000,1534620,1502134.5,2014,
CITIGROUP INC,1.7,07/25/16,265000,268784.2,266814.98,2014,
CITIGROUP INC,1.35,03/10/17,375000,374438.85,373231.13,2014,
CITIGROUP INC,4.75,05/19/15,850000,875270.5,862529.85,2014,
CITIGROUP INC,2.5,09/26/18,725000,721824.5,731296.62,2015,
CITIGROUP INC,1.35,03/10/17,830000,829659.7,826928.17,2015,
CITIGROUP INC,3.875,03/26/25,405000,397515.6,394181.64,2015,
CITIGROUP INC,1.3,11/15/16,180000,179820,179559.36,2015,
CITIGROUP INC,2.5,07/29/19,100000,99939,99849.3,2015,
CITIGROUP INC,1.85,11/24/17,750000,749850,748893,2015,
CITIGROUP INC,1.7,04/27/18,250000,249207.5,247521.75,2015,
CITIGROUP INC,1.55,08/14/17,664000,663070.4,661457.54,2015,
CITIGROUP INC,1.55,08/14/17,980000,978628,976247.57,2015,
CITIGROUP INC,1.312,12/07/18,3370000,3370000,3359394.61,2015,
CITIGROUP INC,1.8,02/05/18,340000,339658.8,338698.48,2015,
CITIGROUP INC,1.7,04/27/18,270000,269144.1,267323.49,2015,
CITIGROUP INC,2.05,12/07/18,195000,194972.7,193969.81,2015,
CITIGROUP INC,2.7,03/30/21,650000,662733.5,648512.8,2016,
CITIGROUP INC,3.2,10/21/26,335000,336681.7,320334.37,2016,
CITIGROUP INC,3.4,05/01/26,500000,489520,485830.5,2016,
CITIGROUP INC,1.7,04/27/18,250000,249207.5,249449,2016,
CITIGROUP INC,1.85,11/24/17,750000,749850,751417.5,2016,
CITIGROUP INC,2.5,07/29/19,100000,99939,100685.5,2016,
CITIGROUP INC,1.7,04/27/18,662000,660781.92,660540.95,2016,
CITIGROUP INC,2.05,06/07/19,450000,449766,448301.26,2016,
CITIGROUP INC,2.5,07/29/19,900000,916326,906169.5,2016,
CITIGROUP INC,1.7,04/27/18,115000,114635.45,114746.54,2016,
CITIGROUP INC,1.8,02/05/18,280000,279719.01,279843.48,2016,
CITIGROUP INC,2.05,06/07/19,195000,194898.6,194263.88,2016,
CITIGROUP INC,2.05,12/07/18,195000,194972.7,194978.16,2016,
CITIGROUP INC,1.81,12/07/18,3825000,3827056.6,3843184.05,2016,
CITIGROUP INC,1.8,02/05/18,1500000,1500930,1499161.5,2016,
CITIGROUP INC,1.55,08/14/17,1000000,995920,1000698,2016,
CITIGROUP INC,1.88,06/07/19,1000000,1000000,1007765,2016,
CITIGROUP INC,2.4,02/18/20,1900000,1899525,1897777,2017,
CITIGROUP INC,2.7,03/30/21,1150000,1164893.5,1153493.7,2017,
CITIGROUP INC,2.88,07/24/23,655000,655000,651717.8,2017,
CITIGROUP INC,2.75,04/25/22,1675000,1673533.5,1671611.48,2017,
CITIGROUP INC,3.4,05/01/26,900000,894504,905375.7,2017,
CITIGROUP INC,1.7,04/27/18,250000,249207.5,249751.25,2017,
CITIGROUP INC,2.45,01/10/20,160000,159936,160073.76,2017,
CITIGROUP INC,2.5,07/29/19,100000,99939,100306.9,2017,
CITIGROUP INC,2.05,06/07/19,450000,449766,448694.55,2017,
CITIGROUP INC,2.5,07/29/19,900000,916326,902762.1,2017,
CITIGROUP INC,2.45,01/10/20,420000,421115.65,420193.62,2017,
CITIGROUP INC,2.06,10/27/22,195000,195000,194698.14,2017,
CITIGROUP INC,2.14,01/10/20,235000,235142.64,236397.08,2017,
CITIGROUP INC,2.91,09/01/23,130000,133086.98,133811.99,2017,
CITIGROUP INC,2.68,10/26/20,4075000,4168281.75,4159784.45,2017,
CITIGROUP INC,2.14,01/10/20,1210000,1218657.2,1217193.48,2017,
CITIGROUP INC,1.7,04/27/18,1500000,1498890,1498507.5,2017,
CITIGROUP INC,2.45,06/07/19,1000000,1000000,1007880,2017,
CITIGROUP INC,2.4,02/18/20,1900000,1899525,1875776.9,2018,
CITIGROUP INC,2.88,07/24/23,655000,655000,631606.02,2018,
CITIGROUP INC,2.75,04/25/22,1675000,1673533.5,1621312.9,2018,
CITIGROUP INC,3.4,05/01/26,900000,894504,852845.4,2018,
CITIGROUP INC,2.5,07/29/19,100000,99939,99551.4,2018,
CITIGROUP INC,2.05,06/07/19,450000,449766,446394.6,2018,
CITIGROUP INC,2.5,07/29/19,900000,916326,895962.6,2018,
CITIGROUP INC,3.06,10/27/22,195000,195000,194479.16,2018,
CITIGROUP INC,3.35,06/01/24,330000,330000,330301.29,2018,
CITIGROUP INC,3.73,09/01/23,130000,133086.98,132673.84,2018,
CITIGROUP INC,3.67,10/26/20,3000000,3067253.78,3060735,2018,
CITIGROUP INC,3.25,06/07/19,1000000,1000000,1006162,2018,
CITIGROUP INC,2.88,07/24/23,655000,655000,663446.88,2019,
CITIGROUP INC,2.75,04/25/22,1675000,1673533.5,1690356.39,2019,
CITIGROUP INC,3.4,05/01/26,900000,894504,931547.7,2019,
CITIGROUP INC,2.75,04/25/22,648000,650870.64,653940.86,2019,
CITIGROUP INC,2.7,03/30/21,480000,476786.4,482469.12,2019,
CITIGROUP INC,2.9,12/08/21,410000,408003.3,414252.11,2019,
CITIGROUP INC,3.27,10/27/22,195000,195000,195232.44,2019,
CITIGROUP INC,3.54,06/01/24,330000,330000,331765.83,2019,
CITIGROUP INC,3.52,12/08/21,5000000,5056180,5053330,2019,
CITIGROUP INC,2.88,07/24/23,655000,655000,681681.06,2020,
CITIGROUP INC,1.68,05/15/24,524000,524000,534439.22,2020,
CITIGROUP INC,2.75,04/25/22,1675000,1673533.5,1735924.89,2020,
CITIGROUP INC,3.2,10/21/26,544000,557268.16,596293.03,2020,
CITIGROUP INC,3.88,10/25/23,400000,423648,439344.37,2020,
CITIGROUP INC,2.31,11/04/22,260000,260000,265126.71,2020,
CITIGROUP INC,1.68,05/15/24,1444000,1472363.77,1472767.62,2020,
CITIGROUP INC,2.75,04/25/22,648000,650870.64,671569.75,2020,
CITIGROUP INC,1.68,10/27/22,195000,195000,194423.68,2020,
CITIGROUP INC,1.95,04/25/22,2745000,2776257.09,2760093.88,2020,
CITIGROUP INC,1.68,10/27/22,2225000,2239890.6,2218424.08,2020,
CITIGROUP INC,2.88,07/24/23,530000,530000,543607.59,2021,
CITIGROUP INC,3.2,10/21/26,544000,557268.16,589293.75,2021,
CITIGROUP INC,0.78,10/30/24,170000,170000,170424.11,2021,
CITIGROUP INC,2.31,11/04/22,260000,260000,261631.88,2021,
CITIGROUP INC,0.98,05/01/25,220000,220000,220523.57,2021,
CITIGROUP INC,3.35,04/24/25,400000,426884,426221.11,2021,
CITIGROUP INC,1.68,05/15/24,1968000,1996363.77,2009586.5,2021,
CITIGROUP INC,2.75,04/25/22,2323000,2324404.14,2365851.08,2021,
CITIGROUP INC,0.87,10/27/22,195000,195000,196367.29,2021,
CITIGROUP INC,0.98,05/01/25,300000,300000,300713.96,2021,
CITIGROUP INC,1.13,07/24/23,3785000,3818712.52,3814653.36,2021,
CITIGROUP INC,0.87,10/27/22,4300000,4328215.06,4330150.48,2021,
CITIGROUP INC,3.14,01/24/23,891000,909506.07,904481.86,2021,
CITIGROUP INC,2.88,07/24/23,530000,530000,529767.84,2022,
CITIGROUP INC,3.2,10/21/26,544000,557268.16,517640.16,2022,
CITIGROUP INC,0.78,10/30/24,170000,170000,162060.34,2022,
CITIGROUP INC,1.28,11/03/25,125000,125000,116059.87,2022,
CITIGROUP INC,3.11,04/08/26,80000,81264.3,76796.43,2022,
CITIGROUP INC,3.29,03/17/26,180000,180000,174022.07,2022,
CITIGROUP INC,3.07,02/24/28,80000,80000,74215.28,2022,
CITIGROUP INC,0.98,05/01/25,220000,220000,206102.39,2022,
CITIGROUP INC,2.01,01/25/26,310000,310000,290410.21,2022,
CITIGROUP INC,3.35,04/24/25,400000,426884,391779.76,2022,
CITIGROUP INC,1.68,05/15/24,1968000,1996363.77,1928400.42,2022,
CITIGROUP INC,3.35,04/24/25,694000,724855.24,679737.88,2022,
CITIGROUP INC,4.14,05/24/25,600000,600000,597548.86,2022,
CITIGROUP INC,1.91,10/27/22,195000,195000,194743.58,2022,
CITIGROUP INC,0.98,05/01/25,300000,300000,281048.72,2022,
CITIGROUP INC,2.13,07/24/23,3785000,3818712.52,3775731.22,2022,
CITIGROUP INC,1.91,10/27/22,692000,696540.66,691090.05,2022,
CITIGROUP INC,3.01,09/01/23,3608000,3647049.38,3604173.79,2022,
CITIGROUP INC,3.2,10/21/26,544000,557268.16,509207.33,2023,
CITIGROUP INC,5.61,09/29/26,694000,698934.35,693056.33,2023,
CITIGROUP INC,4.08,04/23/29,430000,413324.6,404776.93,2023,
CITIGROUP INC,2.56,05/01/32,350000,289040.5,285784.32,2023,
CITIGROUP INC,3.11,04/08/26,500000,481690,477347.85,2023,
CITIGROUP INC,6.17,05/25/34,300000,300000,302613.71,2023,
CITIGROUP INC,0.78,10/30/24,170000,170000,166998.07,2023,
CITIGROUP INC,1.28,11/03/25,125000,125000,117096.54,2023,
CITIGROUP INC,3.11,04/08/26,480000,467964.3,458253.94,2023,
CITIGROUP INC,3.29,03/17/26,180000,180000,172136.45,2023,
CITIGROUP INC,5.61,09/29/26,60000,60000,59918.41,2023,
CITIGROUP INC,3.07,02/24/28,80000,80000,73619.31,2023,
CITIGROUP INC,0.98,05/01/25,650000,625077.2,621976.08,2023,
CITIGROUP INC,2.01,01/25/26,310000,310000,291212.15,2023,
CITIGROUP INC,3.35,04/24/25,400000,426884,391027.23,2023,
CITIGROUP INC,2.01,01/25/26,1180000,1110002.4,1108484.97,2023,
CITIGROUP INC,4.14,05/24/25,600000,600000,589520,2023,
CITIGROUP INC,5.61,09/29/26,1360000,1360000,1358150.73,2023,
CITIGROUP INC,0.98,05/01/25,300000,300000,287065.88,2023,
CITIGROUP INC,6.58,03/17/26,3150000,3183025.44,3179073.56,2023,
CITIGROUP INC,6.44,05/24/25,2045000,2054507.78,2053655.34,2023,
CITIGROUP INC,3.35,04/24/25,3900000,3816384,3812515.51,2023,
CITIGROUP INC,6.13,03/09/28,135000,135424.8,133175.76,2023,
CITIGROUP INC,3.67,07/24/28,195000,182953.4,182303.96,2023,
CITIGROUP INC,6.27,11/17/33,160000,170166.95,169826.75,2023,
CITIGROUP INC,2.57,06/03/31,210000,210000,175206.45,2023,
CITIGROUP INC,4.45,09/29/27,175000,184912,167094.96,2023,
CITIZENS BK MEDIUM TERM NTS BO,2.2,05/26/20,250000,249770,248255.75,2017,
CITIZENS BK MEDIUM TERM NTS BO,2.3,12/03/18,707000,710230.99,707483.59,2017,
CITIZENS BK MEDIUM TERM NTS BO,2.03,05/26/20,1000000,1000000,1002761,2017,
CITIZENS BK MEDIUM TERM NTS BO,2.2,05/26/20,250000,249770,244740.5,2018,
CITIZENS BK MEDIUM TERM NTS BO,2.3,12/03/18,707000,710230.99,706018.68,2018,
CITIZENS BK MEDIUM TERM NTS BO,2.89,05/26/20,1000000,1000000,1002774,2018,
CITIZENS BK MEDIUM TERM NTS BO,2.2,05/26/20,250000,249770,249572.5,2019,
CITIZENS BK MEDIUM TERM NTS BO,3.25,02/14/22,260000,259763.4,265045.82,2019,
CITIZENS BK MEDIUM TERM NTS BO,2.25,03/02/20,2315000,2283045.37,2312937.34,2019,
CITIZENS BK MEDIUM TERM NTS BO,3.09,05/26/20,1000000,1000000,1002537,2019,
CITIZENS BK MEDIUM TERM NTS BO,3.25,02/14/22,1130000,1130000,1131098.36,2019,
CITIZENS BK MEDIUM TERM NTS BO,3.25,02/14/22,260000,259763.4,269257.48,2020,
CITIZENS BK MEDIUM TERM NTS BO,2.55,05/13/21,250000,252870,254089.86,2020,
CITIZENS BK MEDIUM TERM NTS BO,1.14,02/14/22,1130000,1130000,1130108.82,2020,
CITIZENS BK MEDIUM TERM NTS BO,3.25,02/14/22,260000,259763.4,264174.2,2021,
CITIZENS BK MEDIUM TERM NTS BO,2.65,05/26/22,892000,910544.68,909351.57,2021,
CITIZENS BK MEDIUM TERM NTS BO,0.87,02/14/22,1130000,1130000,1133843.25,2021,
CITIZENS BK NA PROVIDENCE RI 4,4.12,05/23/25,280000,280000,278900.75,2022,
CITIZENS BK NA PROVIDENCE RI 4,4.12,05/23/25,530000,528732.5,501929.21,2023,
CITIZENS BK NA PROVIDENCE RI 4,6.06,10/24/25,623000,623000,590432.89,2023,
CITRIX SYS INC 1.25% DUEá,1.25,03/01/26,130000,129721.8,128367.7,2021,
CLEARWAY ENERGY OPER LLC 4.75%,4.75,03/15/28,85000,80497.7,78422.72,2023,renewable
CLOROX,5.45,10/15/12,145000,144802.8,155898.64,2009,
CLOROX,5.45,10/15/12,145000,144802.8,155513.95,2010,
CLOROX CO 3.8% DUE 11-15-2021,3.8,11/15/21,220000,223731.2,227464.82,2019,
CLOROX CO 3.8% DUE 11-15-2021,3.8,11/15/21,220000,223731.2,229328.58,2020,
CLOROX CO 3.8% DUE 11-15-2021,3.8,11/15/21,220000,223731.2,222773.56,2021,
CME GROUP INC 2.65% DUE 03-15-,2.65,03/15/32,164000,142893.21,139300.88,2023,
CMO FDIC GRD NTS,0.96,01/02/46,785820.19,785820.19,787313.24,2010,
CMO FDIC GRD NTS,0.97,12/29/45,687588.54,687588.54,680712.65,2011,
CN LT & PWR CO 5.5% DUE 02-01-,5.5,02/01/19,430000,462073.7,444177.1,2017,
CN LT & PWR CO 5.5% DUE 02-01-,5.5,02/01/19,430000,462073.7,436759.6,2018,
CNH INDL CAP LLC 3.95% 05-23-2,4.38,04/05/22,910000,917343.7,945116.9,2019,
CNH INDL CAP LLC 3.95% 05-23-2,4.38,04/05/22,910000,917343.7,951132.04,2020,
CNH INDL CAP LLC 3.95% 05-23-2,4.2,01/15/24,170000,182260.4,181135.63,2020,
CNH INDL CAP LLC 3.95% 05-23-2,4.38,04/05/22,910000,917343.7,936110.96,2021,
CNH INDL CAP LLC 3.95% 05-23-2,4.2,01/15/24,170000,182260.4,183954.09,2021,
CNH INDL CAP LLC 3.95% 05-23-2,3.95,05/23/25,150000,149203.5,148412.52,2022,
CNH INDL CAP LLC 3.95% 05-23-2,3.95,05/23/25,100000,99469,98941.68,2022,
CNH INDL CAP LLC 3.95% 05-23-2,4.2,01/15/24,170000,182260.4,170113.53,2022,
CNH INDL CAP LLC 3.95% 05-23-2,3.95,05/23/25,150000,149203.5,145152.74,2023,
CNH INDL CAP LLC 3.95% 05-23-2,5.45,10/14/25,140000,139113.8,139032.02,2023,
CNH INDL CAP LLC 3.95% 05-23-2,3.95,05/23/25,100000,99469,96768.49,2023,
CNOOC FINANCE 2013 LTD,1.125,05/09/16,265000,264067.2,264023.74,2013,
CNOOC FINANCE 2013 LTD,1.125,05/09/16,265000,264067.2,264023.74,2013,
CNOOC FINANCE 2013 LTD,1.125,05/09/16,265000,264067.2,264061.1,2014,
CNOOC FINANCE 2013 LTD,3,05/09/23,815000,770908.5,771321.7,2014,
CNOOC FINANCE 2013 LTD,1.125,05/09/16,802000,802068.4,799158.5,2014,
CNOOC FINANCE 2013 LTD,1.125,05/09/16,265000,264067.2,264554,2015,
CNOOC FINANCE 2013 LTD,3,05/09/23,815000,770908.5,762813.1,2015,
CNOOC FINANCE 2013 LTD,1.125,05/09/16,802000,802068.4,800650.23,2015,
CNOOC FINANCE 2013 LTD,1.125,05/09/16,978000,977121.72,976354.02,2015,
COCA COLA,3.15,11/15/20,275000,274158.5,258029.47,2010,
COCA COLA,3.15,11/15/20,275000,274158.5,288613.32,2011,
COCA COLA,3.15,11/15/20,475000,483758.5,516883.12,2012,
COCA COLA,1.8,09/01/16,658000,677009.62,679615.3,2012,
COCA COLA,0.26,03/14/14,1490000,1490000,1489597.7,2012,
COCA COLA,3.15,11/15/20,475000,483758.5,481868.02,2013,
COCA COLA,1.8,09/01/16,658000,677009.62,673805.81,2013,
COCA COLA,0.193,03/14/14,1490000,1490000,1490081.95,2013,
COCA COLA,0.221,03/05/15,500000,499825.15,499737,2013,
COCA COLA,3.15,11/15/20,475000,483758.5,496583.52,2014,
COCA COLA,1.8,09/01/16,658000,677009.62,668974.12,2014,
COCA COLA,3.15,11/15/20,475000,483758.5,497219.07,2015,
COCA COLA,0.875,10/27/17,365000,364839.4,363640.01,2015,
COCA COLA CO .875% DUE 10-27,0.88,10/27/17,365000,364839.4,364309.79,2016,
COCA COLA CO .875% DUE 10-27,1.38,05/30/19,55000,54961.5,54634.53,2016,
COCA-COLA ENTERPRISES INC,2.13,09/15/15,905000,929172.55,934476.75,2012,
COCA-COLA ENTERPRISES INC,1.13,11/12/13,1000000,1005250,1004478,2012,
COCA-COLA ENTERPRISES INC,2.125,09/15/15,905000,929172.55,922520.8,2013,
COCA-COLA ENTERPRISES INC,2.125,09/15/15,905000,929172.55,914040.95,2014,
COCA-COLA EUROPEAN PARTN,0.5,05/05/23,878000,877183.46,876288.67,2021,
COCA-COLA EUROPEAN PARTN,0.5,05/05/23,878000,877183.46,853450.21,2022,
COLBS SOUTHN PWR 6.05% DUE 05-,6.05,05/01/18,750000,804000,759501.75,2017,
COLGATE-PALMOLIVE CO 4.8% DUE,4.8,03/02/26,225000,224739,225805.53,2023,
COLUMBUS SOUTHERN POWER CO,6.05,05/01/18,750000,804000,790222.5,2016,
COMCAST CORP,5.88,02/15/18,335000,358734.75,371929.73,2010,
COMCAST CORP,5.88,02/15/18,335000,358734.75,387349.44,2011,
COMCAST CORP,5.88,02/15/18,560000,626590.5,674828.56,2012,
COMCAST CORP,6.5,01/15/15,1030000,1176322.1,1147706.34,2012,
COMCAST CORP,5.3,01/15/14,700000,746529,734428.8,2012,
COMCAST CORP,5.875,02/15/18,560000,626590.5,642316.64,2013,
COMCAST CORP,6.5,01/15/15,1403000,1591918.7,1487630.36,2013,
COMCAST CORP,5.3,01/15/14,1300000,1375263,1301908.4,2013,
COMCAST CORP,5.875,02/15/18,560000,626590.5,630068.88,2014,
COMCAST CORP,6.3,11/15/17,460000,539436.78,520975.76,2014,
COMCAST CORP,5.875,02/15/18,560000,626590.5,609934.64,2015,
COMCAST CORP,1.63,01/15/22,500000,495010,479258,2016,
COMCAST CORP,5.7,05/15/18,230000,252080,242792.6,2016,
COMCAST CORP,6.3,11/15/17,230000,250315.9,239529.36,2016,
COMCAST CORP,6.5,01/15/17,1300000,1305616,1301829.1,2016,
COMCAST CORP,6.3,11/15/17,641000,671569.29,667557.91,2016,
COMCAST CORP,5.15,03/01/20,450000,485725.5,476920.35,2017,
COMCAST CORP,5.7,07/01/19,50000,53844.5,52631.5,2017,
COMCAST CORP,5.7,05/15/18,350000,367020.5,354966.15,2017,
COMCAST CORP,2.85,01/15/23,90000,87751.8,87022.8,2018,
COMCAST CORP,3.95,10/15/25,2420000,2417023.4,2610889.6,2019,
COMCAST CORP,2.85,01/15/23,90000,87751.8,91471.95,2019,
COMCAST CORP,3.3,10/01/20,50000,49986,50685.45,2019,
COMCAST CORP,3.45,10/01/21,600000,599142.4,617350.8,2019,
COMCAST CORP,3.45,10/01/21,769000,768223.31,791237.94,2019,
COMCAST CORP,3.45,10/01/21,550000,549444.5,565904.9,2019,
COMCAST CORP,2.76,10/01/21,1515000,1515000,1520923.65,2019,
COMCAST CORP,5.15,03/01/20,875000,892885,890679.13,2019,
COMCAST CORP,2.76,10/01/21,1500000,1500000,1505865,2019,
COMCAST CORP,3.3,10/01/20,1530000,1529571.6,1550974.77,2019,
COMCAST CORP,3.95,10/15/25,613000,683795.37,702465.99,2020,
COMCAST CORP,3.7,04/15/24,150000,164229,166016.97,2020,
COMCAST CORP,2.85,01/15/23,90000,87751.8,96199.77,2020,
COMCAST CORP,1.87,10/01/21,1500000,1500000,1505153.9,2020,
COMCAST CORP,1.5,02/15/31,1130000,1126191.9,1070648.48,2021,
COMCAST CORP,3.95,10/15/25,613000,683795.37,686854.39,2021,
COMCAST CORP,3.7,04/15/24,150000,164229,162654.85,2021,
COMCAST CORP,3.38,08/15/25,400000,447928,436196.16,2021,
COMCAST CORP,0.81,04/15/24,1835000,1857717.3,1858335.38,2021,
COMCAST CORP,0.58,10/01/21,1395000,1399324.5,1396364.46,2021,
COMCAST CORP,0.58,10/01/21,1500000,1500000,1501467.16,2021,
COMCAST CORP,1.5,02/15/31,1130000,1126191.9,908170.32,2022,
COMCAST CORP,3.95,10/15/25,613000,683795.37,615418.46,2022,
COMCAST CORP,3.38,08/15/25,400000,447928,394335.91,2022,
COMCAST CORP,1.67,04/15/24,2865000,2899567.45,2863270.14,2022,
COMCAST CORP,4.8,05/15/33,905000,902212.6,895438.43,2023,
COMCAST CORP,3.95,10/15/25,613000,683795.37,597578.39,2023,
COMCAST CORP,4.55,01/15/29,355000,354233.2,348608.57,2023,
COMCAST CORP,3.38,08/15/25,400000,447928,385953.14,2023,
COMCAST CORP,3.95,10/15/25,250000,247510,243710.6,2023,
COMCAST CORP,5.35,05/15/53,150000,149353.5,152297.87,2023,
COMERICA BK DALLAS TEX 2.5% DU,2.5,06/02/20,1468000,1456894.08,1469981.8,2019,
COMMONSPIRIT HEALTH 2.76% DUE ,2.76,10/01/24,65000,65000,67131.42,2020,
COMMONSPIRIT HEALTH 2.76% DUE ,1.55,10/01/25,1045000,1045000,1053945.33,2021,
COMMONSPIRIT HEALTH 2.76% DUE ,2.76,10/01/24,65000,65000,68433.95,2021,
COMMONSPIRIT HEALTH 2.76% DUE ,1.55,10/01/25,1045000,1045000,963931.36,2022,
COMMONSPIRIT HEALTH 2.76% DUE ,2.76,10/01/24,65000,65000,63288.65,2022,
